Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PC_ID,Summary,URL
gameboy-advance,The Sims 2: Pets,2006-11-07,Everyone,Electronic Arts,Unkown,Simulation,014633152456,2644,Unkown,https://www.pricecharting.com/game/gameboy-advance/the-sims-2-pets
gameboy-advance,The Sims Bustin Out,2003-12-16,Everyone,EA Games,Griptonite Games,Simulation,014633147315,2645,Don't leave home without them!,https://www.pricecharting.com/game/gameboy-advance/the-sims-bustin-out
gameboy-advance,The Tower SP,2006-03-21,Everyone,Sega,Unkown,Strategy,010086600384,11020,Unkown,https://www.pricecharting.com/game/gameboy-advance/the-tower-sp
gameboy-advance,The Urbz Sims in the City,2004-11-09,Everyone,Electronic Arts,Unkown,Simulation,014633148565,2646,Unkown,https://www.pricecharting.com/game/gameboy-advance/the-urbz-sims-in-the-city
gameboy-advance,The Wild,2006-09-08,Everyone,Buena Vista,Unkown,Action & Adventure,712725002831,15035,Unkown,https://www.pricecharting.com/game/gameboy-advance/the-wild
gameboy-advance,Three Stooges,2002-03-31,Everyone,Unkown,Unkown,Action & Adventure,650001771135,2647,Unkown,https://www.pricecharting.com/game/gameboy-advance/three-stooges
gameboy-advance,Thunder Alley,2004-06-13,Everyone,XS Games,Unkown,Action & Adventure,780332057506,2648,Unkown,https://www.pricecharting.com/game/gameboy-advance/thunder-alley
gameboy-advance,Thunderbirds,2004-08-10,Everyone,Vivendi Universal,Unkown,Action & Adventure,020626722834,11104,Unkown,https://www.pricecharting.com/game/gameboy-advance/thunderbirds
gameboy-advance,Tiger Woods 2004,2003-11-01,Everyone,Electronic Arts,Unkown,Sports,014633146783,2649,Unkown,https://www.pricecharting.com/game/gameboy-advance/tiger-woods-2004
gameboy-advance,Tiger Woods PGA Golf,2002-05-01,Everyone,Electronic Arts,Unkown,Golf,802068100063,2650,Unkown,https://www.pricecharting.com/game/gameboy-advance/tiger-woods-pga-golf
gameboy-advance,Tiny Toon Adventures: Scary Dreams,2008-12-31,Everyone,Conspiracy,Unkown,Action & Adventure,815315000191,2651,Unkown,https://www.pricecharting.com/game/gameboy-advance/tiny-toon-adventures-scary-dreams
gameboy-advance,TMNT,2007-03-20,Everyone 10+,Ubisoft,Ubisoft Montreal,Action & Adventure,008888143413,10993,Unkown,https://www.pricecharting.com/game/gameboy-advance/tmnt
gameboy-advance,Tokyo Xtreme Racer Advance,2005-04-20,Everyone,Crave,Unkown,Racing,650008899054,2652,Unkown,https://www.pricecharting.com/game/gameboy-advance/tokyo-xtreme-racer-advance
