Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PC_ID,Summary,URL
nintendo-3ds,Conception II: Children of the Seven Stars,2014-04-15,Mature,Atlus,Unkown,RPG,730865300167,34812,Unkown,https://www.pricecharting.com/game/nintendo-3ds/conception-ii-children-of-the-seven-stars
nintendo-3ds,Cooking Mama 4: Kitchen Magic,2011-11-16,Everyone,Majesco,Unkown,Simulation,096427017356,32267,Unkown,https://www.pricecharting.com/game/nintendo-3ds/cooking-mama-4-kitchen-magic
nintendo-3ds,Cooking Mama 5: Bon Appetit,2014-09-16,Everyone,Majesco,Unkown,Other,096427018377,35055,Unkown,https://www.pricecharting.com/game/nintendo-3ds/cooking-mama-5-bon-appetit
nintendo-3ds,Cooking Mama Sweet Shop,2017-05-16,Everyone,Crescent Marketing & Distribution,Unkown,Other,887195000325,37583,Unkown,https://www.pricecharting.com/game/nintendo-3ds/cooking-mama-sweet-shop
nintendo-3ds,Corpse Party: Back to School Edition,2016-10-25,Mature,Xseed,Unkown,Action & Adventure,853466001940,37064,Unkown,https://www.pricecharting.com/game/nintendo-3ds/corpse-party-back-to-school-edition
nintendo-3ds,Crash City Mayhem,2013-07-02,Teen,Majesco,Unkown,Racing,096427017332,34093,Unkown,https://www.pricecharting.com/game/nintendo-3ds/crash-city-mayhem
nintendo-3ds,Crosswords Plus,2012-10-01,Everyone,Nintendo,Unkown,Strategy,045496742096,33141,Unkown,https://www.pricecharting.com/game/nintendo-3ds/crosswords-plus
nintendo-3ds,Crush 3D,2012-03-06,Everyone 10+,Sega,Unkown,Puzzle,010086611038,33864,Unkown,https://www.pricecharting.com/game/nintendo-3ds/crush-3d
nintendo-3ds,Cubic Ninja,2011-06-14,Everyone,Ubisoft,Unkown,Action & Adventure,008888166863,31474,Unkown,https://www.pricecharting.com/game/nintendo-3ds/cubic-ninja
nintendo-3ds,Culdcept Revolt,2017-10-03,Teen,"NIS America, Inc.",Omiya Software,RPG,813633019222,39972,Unkown,https://www.pricecharting.com/game/nintendo-3ds/culdcept-revolt
nintendo-3ds,Cut the Rope: Triple Treat,2014-03-25,Everyone,Activision,Unkown,Puzzle,047875849662,34761,Unkown,https://www.pricecharting.com/game/nintendo-3ds/cut-the-rope-triple-treat
nintendo-3ds,Dead or Alive Dimensions,2011-05-24,Teen,Koei,Team Ninja,Fighting,040198002141,31439,Unkown,https://www.pricecharting.com/game/nintendo-3ds/dead-or-alive-dimensions
nintendo-3ds,Deca Sports Extreme,2011-09-13,Everyone,Konami,Unkown,Sports,083717241850,31712,Unkown,https://www.pricecharting.com/game/nintendo-3ds/deca-sports-extreme
nintendo-3ds,Deer Drive Legends,2012-05-29,Teen,Maximum Games,Unkown,Simulation,814290011475,32793,Unkown,https://www.pricecharting.com/game/nintendo-3ds/deer-drive-legends
nintendo-3ds,Detective Pikachu,2018-03-23,Everyone,The Pokémon Company,Creatures Inc.,Action & Adventure,045496744892,45691,Unkown,https://www.pricecharting.com/game/nintendo-3ds/detective-pikachu
nintendo-3ds,Disney Art Academy,2016-05-13,Everyone,Nintendo,Unkown,Other,045496743741,36614,Unkown,https://www.pricecharting.com/game/nintendo-3ds/disney-art-academy
