Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PC_ID,Summary,URL
wii,AMF Bowling World Lanes,2008-11-25,Everyone,Bethesda Softworks,none,Sports,093155129559,16032,none,https://www.pricecharting.com/game/wii/amf-bowling-world-lanes
wii,Angry Birds Star Wars,2013-10-29,Everyone,Activision,none,Action & Adventure,047875767867,34471,none,https://www.pricecharting.com/game/wii/angry-birds-star-wars
wii,Angry Birds Star Wars,2013-10-29,Everyone,Activision,none,Action & Adventure,047875767874,34471,none,https://www.pricecharting.com/game/wii/angry-birds-star-wars
wii,Angry Birds Trilogy,2013-08-13,Everyone,Activision,none,Puzzle,047875767447,34158,none,https://www.pricecharting.com/game/wii/angry-birds-trilogy
wii,Animal Crossing City Folk,2008-11-16,Everyone,Nintendo,none,Simulation,045496901363,16017,none,https://www.pricecharting.com/game/wii/animal-crossing-city-folk
wii,Animal Crossing City Folk,2008-11-16,Everyone,Nintendo,none,Simulation,045496901417,16017,none,https://www.pricecharting.com/game/wii/animal-crossing-city-folk
wii,Animal Crossing City Folk [Nintendo Selects],2011-05-15,Everyone,Nintendo,none,Other,045496902438,32648,none,https://www.pricecharting.com/game/wii/animal-crossing-city-folk-nintendo-selects
wii,Animal Crossing City Folk [Nintendo Selects],2011-05-15,Everyone,Nintendo,none,Other,045496904180,32648,none,https://www.pricecharting.com/game/wii/animal-crossing-city-folk-nintendo-selects
wii,Animal Crossing City Folk [Wii Speak Bundle],2008-11-16,Everyone,Nintendo,none,Other,045496901370,16018,none,https://www.pricecharting.com/game/wii/animal-crossing-city-folk-wii-speak-bundle
wii,Animal Kingdom: Wildlife Expedition,2009-09-30,Everyone,Natsume,none,Other,719593120087,19640,none,https://www.pricecharting.com/game/wii/animal-kingdom-wildlife-expedition
wii,Animal Planet: Vet Life,2009-09-22,Everyone,Activision,none,Other,047875759572,21654,none,https://www.pricecharting.com/game/wii/animal-planet-vet-life
wii,Ant Bully,2006-12-05,Everyone 10+,Midway,none,Action & Adventure,031719191703,7268,none,https://www.pricecharting.com/game/wii/ant-bully
wii,Anubis II,2007-09-18,Everyone,Tommo,none,Action & Adventure,815315000603,10709,none,https://www.pricecharting.com/game/wii/anubis-ii
wii,Aqua Panic,2009-09-25,Everyone,Zoo Games,none,Puzzle,890219002267,21629,none,https://www.pricecharting.com/game/wii/aqua-panic
wii,Arc Rise Fantasia,2010-07-27,Teen,Ignition,none,RPG,853466001186,21626,none,https://www.pricecharting.com/game/wii/arc-rise-fantasia
wii,Arc Rise Fantasia,2010-07-27,Teen,Ignition,none,RPG,893384000472,21626,none,https://www.pricecharting.com/game/wii/arc-rise-fantasia
wii,Arcade Shooting Gallery,2009-11-09,Everyone 10+,Zoo Games,none,Arcade,802068102494,19963,none,https://www.pricecharting.com/game/wii/arcade-shooting-gallery
wii,Arcade Shooting Gallery Bundle,2010-02-09,Everyone 10+,Zoo Games,none,Arcade,802068102678,30890,none,https://www.pricecharting.com/game/wii/arcade-shooting-gallery-bundle
wii,Arcade Zone,2009-09-08,Everyone,Activision,none,Party,047875759497,19579,none,https://www.pricecharting.com/game/wii/arcade-zone
wii,Arcade Zone,2009-09-08,Everyone,Activision,none,Party,047875759510,19579,none,https://www.pricecharting.com/game/wii/arcade-zone
wii,Arctic Tale,2007-10-10,Everyone,Zoo Games,none,Action & Adventure,802068101268,9402,none,https://www.pricecharting.com/game/wii/arctic-tale
wii,Are You Smarter Than A 5th Grader? Back to School,2010-11-02,Everyone,THQ,none,Other,785138303659,30659,none,https://www.pricecharting.com/game/wii/are-you-smarter-than-a-5th-grader-back-to-school
wii,Are You Smarter Than A 5th Grader? Game Time,2009-10-26,Everyone,THQ,none,Party,785138302263,19847,none,https://www.pricecharting.com/game/wii/are-you-smarter-than-a-5th-grader-game-time
wii,Are You Smarter Than A 5th Grader? Make the Grade,2008-10-20,Everyone,THQ,none,Other,785138301655,15771,none,https://www.pricecharting.com/game/wii/are-you-smarter-than-a-5th-grader-make-the-grade
wii,Army Men Soldiers of Misfortune,2008-10-10,Everyone,DSI Games,none,Action & Adventure,802068101671,15689,none,https://www.pricecharting.com/game/wii/army-men-soldiers-of-misfortune
wii,Army Rescue,2009-10-20,Everyone,Tommo,none,Action & Adventure,695771900552,30891,none,https://www.pricecharting.com/game/wii/army-rescue
wii,Around the World In 50 Games,2010-10-14,Everyone 10+,Zoo Games,none,Other,802068103361,30892,none,https://www.pricecharting.com/game/wii/around-the-world-in-50-games
wii,Astro Boy: The Video Game,2009-10-20,Everyone 10+,D3 Publisher,none,Action & Adventure,879278340107,19792,none,https://www.pricecharting.com/game/wii/astro-boy-the-video-game
wii,Atrevete a Sonar,2011-06-02,Everyone,Slang,Sabarasa,Music,none,58172,none,https://www.pricecharting.com/game/wii/atrevete-a-sonar
wii,Attack of the Movies 3D,2010-05-18,Teen,Majesco,none,Action & Adventure,096427016496,21313,none,https://www.pricecharting.com/game/wii/attack-of-the-movies-3d
wii,Attack of the Movies 3D,2010-05-18,Teen,Majesco,none,Action & Adventure,096427016762,21313,none,https://www.pricecharting.com/game/wii/attack-of-the-movies-3d
wii,ATV Quad Kings,2009-08-11,Everyone,Zoo Games,none,Racing,802068102487,21648,none,https://www.pricecharting.com/game/wii/atv-quad-kings
wii,ATV Quad Kings Bundle,2010-06-21,Everyone,Zoo Games,none,Racing,802068102906,30894,none,https://www.pricecharting.com/game/wii/atv-quad-kings-bundle
wii,ATV Quad Kings [Cardboard Sleeve],,Everyone,Zoo Publishing Inc,Beyond Reality Games Ltd,Racing,none,5281903,none,https://www.pricecharting.com/game/wii/atv-quad-kings-cardboard-sleeve
wii,Avatar The Burning Earth,2007-10-16,Everyone 10+,THQ,none,Action & Adventure,785138301310,10344,none,https://www.pricecharting.com/game/wii/avatar-the-burning-earth
wii,Avatar: The Game,2009-12-01,Teen,Ubisoft,none,Action & Adventure,008888175438,20043,none,https://www.pricecharting.com/game/wii/avatar-the-game
