Console,Title,Release_Date,ESRB,Publisher,Developer,Genre,UPC,PriceCharting_ID,Summary,URL
nintendo-ds,America's Next Top Model,2010-06-07,Everyone 10+,Crave,none,Other,815315001952,21521,none,https://www.pricecharting.com/game/nintendo-ds/america%27s-next-top-model
nintendo-ds,America's Test Kitchen: Let's Get Cooking,2010-03-28,Everyone,Nintendo,none,Other,045496740764,21138,none,https://www.pricecharting.com/game/nintendo-ds/america%27s-test-kitchen-let%27s-get-cooking
nintendo-ds,American Dragon Jake Long Attack of the Dark Dragon,2006-10-12,Everyone,Disney,none,Action & Adventure,712725002565,10976,none,https://www.pricecharting.com/game/nintendo-ds/american-dragon-jake-long-attack-of-the-dark-dragon
nintendo-ds,American Girl Julie Finds a Way,2007-12-03,Everyone,THQ,none,Action & Adventure,785138361420,10843,none,https://www.pricecharting.com/game/nintendo-ds/american-girl-julie-finds-a-way
nintendo-ds,American Girl Kit Mystery Challenge,2008-06-23,Everyone,THQ,none,Action & Adventure,785138361680,13993,none,https://www.pricecharting.com/game/nintendo-ds/american-girl-kit-mystery-challenge
nintendo-ds,AMF Bowling Pinbusters,2008-07-07,Everyone,Bethesda Softworks,none,Sports,093155126602,14043,none,https://www.pricecharting.com/game/nintendo-ds/amf-bowling-pinbusters
nintendo-ds,Animal Boxing,2008-12-05,Everyone 10+,Destineer,none,Sports,828068212612,16121,none,https://www.pricecharting.com/game/nintendo-ds/animal-boxing
nintendo-ds,Animal Crossing Wild World,2005-12-05,Everyone,Nintendo,Nintendo,Simulation,045496735937,3982,"Your world just got a little bigger...Get ready to start a new life! Whether you want to decorate your home, catch bugs or fish, join in on special events, or just chat with the locals, there's always plenty to do! And now you can share the good times with friends near and far using either local wireless or the Nintendo Wi-Fi Connection.",https://www.pricecharting.com/game/nintendo-ds/animal-crossing-wild-world
nintendo-ds,Animal Crossing Wild World,2005-12-05,Everyone,Nintendo,Nintendo,Simulation,045496735920,3982,"Your world just got a little bigger...Get ready to start a new life! Whether you want to decorate your home, catch bugs or fish, join in on special events, or just chat with the locals, there's always plenty to do! And now you can share the good times with friends near and far using either local wireless or the Nintendo Wi-Fi Connection.",https://www.pricecharting.com/game/nintendo-ds/animal-crossing-wild-world
nintendo-ds,Animal Genius,2007-09-25,Everyone,Activision,none,Other,047875754133,8511,none,https://www.pricecharting.com/game/nintendo-ds/animal-genius
nintendo-ds,Animal Paradise,2008-09-23,Everyone,Empire Interactive,none,Other,744788028404,14985,none,https://www.pricecharting.com/game/nintendo-ds/animal-paradise
nintendo-ds,Animal Paradise Wild,2009-10-06,Everyone,Zoo Games,none,Other,802068102647,21722,none,https://www.pricecharting.com/game/nintendo-ds/animal-paradise-wild
nintendo-ds,Animal Planet: Emergency Vets,2009-03-13,Everyone,none,none,Other,047875757455,21702,none,https://www.pricecharting.com/game/nintendo-ds/animal-planet-emergency-vets
nintendo-ds,Animal Planet: Vet Collection,2010-07-13,Everyone,none,none,Other,047875764187,31346,none,https://www.pricecharting.com/game/nintendo-ds/animal-planet-vet-collection
nintendo-ds,Animal Planet: Vet Life,2009-09-15,Everyone,Activision,none,Other,047875759534,21731,none,https://www.pricecharting.com/game/nintendo-ds/animal-planet-vet-life
nintendo-ds,Animates,2007-09-17,Everyone,Dreamcatcher,none,Action & Adventure,625904541918,3983,none,https://www.pricecharting.com/game/nintendo-ds/animates
nintendo-ds,ANNO 1701: Dawn of Discovery,2008-03-04,Everyone,Ubisoft,none,Strategy,008888164005,22149,none,https://www.pricecharting.com/game/nintendo-ds/anno-1701-dawn-of-discovery
nintendo-ds,Ant Nation,2009-09-15,Everyone,none,none,Strategy,083717241577,19560,none,https://www.pricecharting.com/game/nintendo-ds/ant-nation
nintendo-ds,Aqua Panic,2009-10-06,Everyone,none,none,Puzzle,890219002250,21739,none,https://www.pricecharting.com/game/nintendo-ds/aqua-panic
nintendo-ds,Aquarium,2007-11-13,Everyone,Destineer,none,Other,828068211851,18635,none,https://www.pricecharting.com/game/nintendo-ds/aquarium
nintendo-ds,Arctic Tale,2007-10-08,Everyone,Zoo Games,none,Action & Adventure,802068101275,10281,none,https://www.pricecharting.com/game/nintendo-ds/arctic-tale
nintendo-ds,Are You Smarter Than A 5th Grader,2007-11-01,Everyone,THQ,none,Other,785138361437,10475,none,https://www.pricecharting.com/game/nintendo-ds/are-you-smarter-than-a-5th-grader
nintendo-ds,Are You Smarter Than A 5th Grader? Back to School,2010-11-02,Everyone,THQ,none,Other,785138364063,30660,none,https://www.pricecharting.com/game/nintendo-ds/are-you-smarter-than-a-5th-grader-back-to-school
nintendo-ds,Are You Smarter Than A 5th Grader? Game Time,2007-11-12,Everyone,THQ,none,Party,785138362465,19849,none,https://www.pricecharting.com/game/nintendo-ds/are-you-smarter-than-a-5th-grader-game-time
nintendo-ds,Are You Smarter Than A 5th Grader? Make the Grade,2008-10-20,Everyone,THQ,none,Other,785138361864,15770,none,https://www.pricecharting.com/game/nintendo-ds/are-you-smarter-than-a-5th-grader-make-the-grade
nintendo-ds,Arkanoid,2008-06-17,Everyone,Square Enix,none,Arcade,662248908045,13917,none,https://www.pricecharting.com/game/nintendo-ds/arkanoid
nintendo-ds,Army Men Soldiers of Misfortune,2008-11-04,Everyone,DSI Games,none,Action & Adventure,802068101664,15687,none,https://www.pricecharting.com/game/nintendo-ds/army-men-soldiers-of-misfortune
nintendo-ds,Art Academy,2010-10-26,Everyone,Nintendo,Headstrong Games,Other,045496741020,30326,none,https://www.pricecharting.com/game/nintendo-ds/art-academy
nintendo-ds,Art Academy,2010-10-26,Everyone,Nintendo,Headstrong Games,Other,045496741037,30326,none,https://www.pricecharting.com/game/nintendo-ds/art-academy
nintendo-ds,Arthur and the Invisibles,2007-01-09,Everyone,Atari,none,Action & Adventure,742725273931,3984,none,https://www.pricecharting.com/game/nintendo-ds/arthur-and-the-invisibles
nintendo-ds,Asphalt 2: Urban GT,2006-11-14,Everyone 10+,Ubisoft,none,Racing,008888162896,3986,none,https://www.pricecharting.com/game/nintendo-ds/asphalt-2-urban-gt
