,PC_ID,Title,loose_price,cib_price,new_price
184,12129,Circus Caper,12.94,67.53,270.00
185,12130,City Connection,10.30,64.49,299.00
186,12131,Clash at Demonhead,19.85,106.01,175.00
187,12132,Classic Concentration,11.99,39.54,134.69
188,8738,Cliffhanger,94.50,300.86,699.99
189,12133,Clu Clu Land,41.00,514.47,"2,058.00"
190,4954606,Clu Clu Land Test Cartridge,384.00,"1,344.00","5,452.80"
191,4954613,Clu Clu Land Test Cartridge [5 Screw],,,
192,12134,Cobra Command,9.93,54.85,219.00
193,8743,Cobra Triangle,10.00,36.99,148.00
194,8747,Code Name Viper,9.09,55.75,219.99
195,8753,Color A Dinosaur,151.19,599.99,"2,400.00"
196,12135,Commando,6.00,50.21,201.00
197,37997,Commando [5 Screw],11.24,57.73,231.00
198,12136,Conan the Mysteries of Time,77.00,181.90,728.00
199,12137,Conflict,18.98,66.50,266.00
200,12138,Conquest of the Crystal Palace,36.91,142.23,569.00
201,12139,Contra,29.59,142.61,"6,571.78"
202,12140,Contra Force,132.49,540.00,"2,160.00"
203,37258,Control Deck Test Cartridge,"1,202.34",,
204,8764,Cool World,147.15,350.00,"1,400.00"
205,149503,Covid-19 [Homebrew],,,
206,12142,Cowboy Kid,363.70,692.46,"2,770.00"
207,12143,Crash 'n' the Boys: Street Challenge,40.41,112.50,926.06
208,155990,Creeping it Reel [Homebrew],,,
209,2781025,Creepy Brawlers [Homebrew],34.00,43.50,74.84
210,8786,Crystal Mines,37.49,58.00,116.25
211,4034742,Crystal Mines [Black],203.07,710.75,"2,883.59"
212,12144,Crystalis,20.95,75.00,703.87
213,8794,Cyberball,18.69,59.50,238.00
214,8796,Cybernoid The Fighting Machine,6.05,27.49,80.00
215,12145,Cyberstadium Series Base Wars,6.05,36.38,146.00
216,8801,Dance Aerobics,9.00,32.43,58.99
217,8804,Danny Sullivan's Indy Heat,30.04,113.53,454.00
218,8808,Darkman,25.99,103.63,554.11
219,8810,Darkwing Duck,74.45,309.99,487.05
220,12146,Dash Galaxy in the Alien Asylum,6.07,34.95,124.99
221,58273,Data East All-Star Collection [Homebrew],19.98,20.34,17.35
222,8817,Day Dreamin' Davey,19.99,120.37,897.50
223,8818,Days Of Thunder,8.98,34.22,282.33
224,161410,Days of Thunder [Chris Oberth],,,
225,2183139,Dead Tomb [Homebrew],55.00,59.99,69.99
226,12147,Deadly Towers,6.64,39.00,294.57
227,38022,Deadly Towers [5 Screw],22.83,39.99,160.00
228,12148,Death Race,40.29,113.61,454.00
229,12149,Deathbots,18.01,77.00,255.77
230,12150,Defender II,9.94,20.24,81.00
231,12151,Defender of the Crown,9.99,38.86,249.00
232,8836,Defenders of Dynatron City,40.00,108.50,165.56
233,12152,Deja Vu,12.93,50.00,157.50
234,12153,Demon Sword,8.81,50.00,200.00
235,12154,Desert Commander,9.46,30.00,78.77
236,12155,Destination Earthstar,6.28,26.22,52.00
237,12156,Destiny of an Emperor,33.00,100.99,457.19
238,12157,Dick Tracy,13.00,50.57,299.99
239,8841,Die Hard,172.89,468.13,"1,873.00"
240,12159,Dig Dug II: Trouble in Paradise,12.35,46.75,164.72
241,12160,Digger T Rock,20.00,54.66,228.66
242,12161,Dirty Harry,10.16,39.37,140.00
243,39508,Dizzy the Adventurer,30.51,106.82,433.38
244,11985,Donkey Kong,42.18,206.77,"2,034.50"
245,12163,Donkey Kong 3,17.13,179.99,720.00
246,37986,Donkey Kong 3 [5 Screw],19.42,178.96,716.00
247,37984,Donkey Kong [5 Screw],33.15,299.00,"1,196.00"
248,12164,Donkey Kong Classics,19.99,45.50,519.57
249,11986,Donkey Kong Jr,25.25,225.21,901.00
250,37985,Donkey Kong Jr [5 Screw],29.97,347.63,"1,391.00"
251,11987,Donkey Kong Jr Math,187.50,"1,955.84","7,823.00"
252,37968,Donkey Kong Jr Math [5 Screw],182.50,"3,100.00","12,400.00"
253,3001677,Doodle World [Homebrew],,,
254,12167,Double Dare,16.24,64.00,189.00
255,12207,Double Dragon,13.68,57.00,571.50
256,12208,Double Dragon II,12.73,71.76,475.00
257,12209,Double Dragon III,15.70,105.50,"1,249.91"
258,11988,Double Dribble,3.74,23.11,350.00
259,38023,Double Dribble [5 Screw],11.02,40.50,172.50
260,12210,Double Strike,19.99,85.72,123.00
261,12211,Dr Chaos,12.90,47.50,100.00
262,12212,Dr Jekyll and Mr Hyde,19.87,72.57,307.00
263,8859,Dr. Mario,8.87,34.12,403.17
264,12217,Dragon's Lair the Legend,29.52,111.49,190.01
265,2290711,Dragon Feet [Homebrew],300.00,,
266,8864,Dragon Fighter,384.99,672.61,"1,413.75"
267,2290954,Dragon Leap [Homebrew],,,
268,12213,Dragon Power,9.97,44.80,179.00
269,12214,Dragon Spirit,11.97,74.85,299.00
270,12216,Dragon Warrior,9.93,69.44,260.87
271,12215,Dragon Warrior II,50.00,180.67,723.00
272,8868,Dragon Warrior III,98.98,243.10,659.99
273,8869,Dragon Warrior IV,119.88,304.88,"1,220.00"
274,12218,Duck Hunt,9.50,138.16,553.00
275,37976,Duck Hunt [5 Screw],8.49,127.28,"5,485.39"
276,71682,Duck Hunt Test Cartridge,,,
277,12219,Duck Tales,23.03,111.70,351.17
278,8878,Duck Tales 2,215.33,754.25,"3,017.00"
279,34156,Duck Tales [Gold Cartridge],"1,375.00","1,605.78","1,357.58"
280,12220,Dudes with Attitude,13.70,39.73,96.33
281,12221,Dungeon Magic,12.27,38.79,250.00
282,3225711,Dungeons & Doomknights [Collector's Edition],,,
283,3217662,Dungeons & Doomknights [Homebrew],119.99,125.00,65.50
284,155989,Dushlan [Homebrew],35.00,,26.99
285,12222,Dusty Diamond's All-Star Softball,63.01,149.50,598.00
286,8889,Dynowarz The Destruction of Spondylus,8.50,35.00,150.50
287,2254208,EarthBound [Homebrew],32.00,66.56,
288,11989,Elevator Action,14.96,71.88,288.00
289,38017,Elevator Action [5 Screw],15.61,106.00,424.00
290,8906,Eliminator Boat Duel,26.62,99.99,194.36
291,3397404,Eskimo Bob [Homebrew],,,
292,11990,Excitebike,11.01,70.59,511.14
293,37977,Excitebike [5 Screw],12.91,122.75,491.00
294,12223,Exodus Journey to the Promised Land,18.53,40.00,129.50
295,5879673,Eyra The Crow Maiden,,,
296,8928,F-117A Stealth Fighter,19.99,89.53,250.00
297,19760,F-15 City War,10.90,30.69,123.00
298,8929,F-15 Strike Eagle,12.99,37.39,150.00
299,8935,Family Feud,13.41,25.47,29.99
300,4643062,Family Fun Fitness Bundle,,,
301,12224,Family Fun Fitness Stadium Events,"16,100.00","55,000.00","33,139.05"
302,5157519,Family Fun Fitness Stadium Events [Timewalk],,,"2,999.00"
303,3366476,Family Picross [Homebrew],30.00,,
304,12225,Fantastic Adventures of Dizzy,11.76,41.99,95.63
305,39521,Fantastic Adventures of Dizzy [Aladdin],18.50,19.99,29.99
306,12226,Fantasy Zone,25.50,92.19,114.99
307,8939,Faria,102.21,260.00,"1,040.00"
308,13717,Faxanadu,12.35,59.99,269.52
309,8948,Felix the Cat,86.48,299.33,"1,098.74"
310,8949,Ferrari Grand Prix Challenge,10.83,51.00,394.91
311,8950,Fester's Quest,7.90,30.85,285.39
312,8970,Final Fantasy,25.99,133.48,"1,599.99"
313,4335486,Final Fantasy 7 Remake [Homebrew],,,
314,3399768,Final Fantasy VII [Demake],,,
315,8975,Fire 'N Ice,195.32,462.50,"1,850.00"
316,12229,Firehawk,10.38,35.98,129.66
317,8976,Fisher-Price Firehouse Rescue,35.00,172.25,689.00
318,12230,Fisher Price I Can Remember,7.88,39.99,115.63
319,12231,Fisher Price Perfect Fit,7.56,34.75,177.50
320,12232,Fist of the North Star,26.00,124.39,498.00
321,2183152,"Fix-It Felix, Jr [Homebrew]",,,25.00
