Title,UPC,PriceCharting_ID,loose_price,cib_price,new_price
Cursed Mountain,895678002148,19511,17.41,17.98,34.99
Cyberbike: Cycling Sports,093992093815,36666,99.99,217.95,436.0
Dead Space: Extraction,014633192087,19668,23.9,24.24,55.0
Deadrising : Chop Till You Drop,013388350100,16313,7.24,9.57,18.99
Death Jr: Root of Evil,788687300124,13815,9.95,13.38,26.77
Deca Sports Nintendo Wii,083717400615,14262,5.62,7.17,14.41
Destroy All Humans: Big Willy Unleashed,785138301365,11881,4.15,6.96,19.99
Dewy’s Adventure,083717400554,7305,7.65,8.84,21.21
Dokapon Kingdom,730865700059,15727,57.49,74.38,169.15
Domino Rally,695771900545,20386,5.99,7.68,14.74
Don King Boxing,710425343650,17473,6.32,8.49,16.28
Donkey Kong Country Returns,045496902001,30775,12.85,14.57,34.0
Dragon Ball Z: Budokai Tenkaichi 3,742725275584,10876,45.0,51.74,149.99
Dragon Ball Z: Budokai Tenkaichi 3,742725275942,,,,
Dragon Blade: Wrath of Fire,879278340015,8863,5.95,6.99,14.51
Dragon Quest Swords: The Masked Queen And The Tower Of Mirrors,662248907208,12099,14.25,18.83,37.07
Dream Pinball 3D,612561100060,13145,5.53,6.97,7.5
Elebits,083717400516,7321,7.1,8.84,21.76
Emergency Mayhem,767649401437,13222,6.72,8.3,11.61
Endless Ocean 2: Blue World,045496901837,20777,12.15,12.23,18.35
Epic Mickey,712725004576,30791,4.95,5.97,15.42
Excite Truck,045496900021,7323,6.9,9.01,36.6
Excitebots Trick Racing,045496901523,18725,7.78,9.0,24.99
F1 2009,767649403028,32354,35.55,36.83,128.4
Final Fantasy Crystal Chronicles: The Crystal Bearers,662248909080,20120,12.0,12.85,34.95
Final Fantasy Fables: Chocobos Dungeon,662248908106,14065,18.0,19.81,50.67
Fire Emblem: Radiant Dawn,045496900410,10353,110.29,113.7,160.81
Fishing Master,083717400592,7332,7.49,9.68,16.15
Fishing Master World Tour,083717400783,18540,7.0,9.93,23.26
Fishing Resort Bundle,853466001445,,,,
Fling Smash,045496902124,31872,6.73,7.16,8.26
Fortune Street,045496902650,32379,24.99,26.51,49.99
Fragile Dreams: Farewell Ruins of the Moon,853466001285,21068,77.83,85.18,116.25
Free Running,891563001654,,,,
GT Pro Series,008888173236,7342,4.05,7.13,18.13
Game Party,031719191895,10877,4.01,4.08,11.79
Gem Smashers,650008501025,32155,5.39,7.01,13.99
