,PC_ID,Title,loose_price,cib_price,new_price
294,31836,Dance Dance Revolution II,10.16,11.94,19.18
295,34985,Dance Dance Revolution II Bundle,11.96,13.00,35.85
296,30901,Dance On Broadway,4.45,5.19,10.58
297,21106,Dance Sensation,5.81,10.38,11.99
298,10351,Dancing with the Stars,2.68,3.68,5.36
299,15784,Dancing With The Stars We Dance,3.15,3.92,7.32
300,20431,Data East Arcade Classics,27.74,35.00,73.69
301,8813,Dave Mirra BMX Challenge,4.37,4.89,14.79
302,19324,Dawn of Discovery,11.67,14.02,26.88
303,15063,De Blob,4.87,5.20,13.99
304,31128,De Blob 2,6.38,7.28,14.95
305,16313,Dead Rising Chop Til You Drop,8.55,9.19,21.19
306,19668,Dead Space Extraction,21.06,22.10,56.43
307,30784,Deadliest Catch: Sea of Chaos,4.99,5.47,11.56
308,16281,Deadly Creatures,15.73,18.97,19.64
309,16218,Deal or No Deal,4.02,5.99,10.43
310,30903,Deal or No Deal: Special Edition,4.88,6.91,13.24
311,13815,Death Jr Root of Evil,9.95,13.76,27.33
312,14262,Deca Sports,5.99,6.68,15.00
313,19669,Deca Sports 2,6.98,7.49,20.94
314,30353,Deca Sports 3,8.91,9.25,19.70
315,4133971,Deca Sports [Fan Favorites],3.73,9.78,20.00
316,3654405,Deca Sports [Not For Resale],,,
317,32098,Deepak Chopra: Leela,4.80,5.85,8.03
318,16471,Deer Drive,5.06,5.66,23.36
319,31364,Deer Drive Gun Bundle,10.33,11.50,24.72
320,33371,Deer Drive Legends,10.85,26.53,42.44
321,22126,Def Jam Rapstar,5.46,7.40,14.67
322,22125,Def Jam Rapstar [Microphone Bundle],8.57,9.98,20.00
323,14662,Defendin' de Penguin,4.44,5.90,7.58
324,21557,Despicable Me,7.46,8.25,20.82
325,11881,Destroy All Humans Big Willy Unleashed,5.39,6.86,19.99
326,7305,Dewy's Adventure,7.18,9.92,21.58
327,36724,Dino Strike,26.35,27.74,88.54
328,19582,Dirt 2,4.59,9.18,18.39
329,30360,Disney Channel All Star Party,5.35,5.90,17.85
330,5154443,Disney Infinity [Game Only],,,
331,34172,Disney Infinity Starter Pack,9.30,11.54,22.64
332,19228,Disney Pixar Up,6.28,6.81,13.87
333,34144,Disney Planes,6.97,8.56,15.09
334,10352,Disney Princess Enchanted Journey,7.50,7.90,17.88
335,4812873,Disney Princess: Enchanted Journey & Tangled,38.10,49.99,113.49
336,32204,Disney Princess: Enchanting Storybooks,4.95,5.39,9.99
337,33116,Disney Princess: My Fairytale Adventure,12.16,12.35,19.08
338,16377,Disney Sing It,2.98,5.99,18.32
339,15748,Disney Sing It Bundle,7.99,10.45,21.00
340,21784,Disney Sing It: Family Hits,8.90,10.09,22.23
341,21785,Disney Sing It: Family Hits with Microphone,7.26,26.63,29.94
342,16298,Disney Sing It High School Musical 3,5.25,5.99,6.68
343,16299,Disney Sing It High School Musical 3 [Bundle],11.93,15.51,31.00
344,22177,Disney Sing It: Party Hits,6.12,6.56,22.53
345,22174,Disney Sing It: Party Hits (Game & Microphone),12.64,13.12,26.63
346,19692,Disney Sing It: Pop Hits,5.63,5.69,16.98
347,19690,Disney Sing It: Pop Hits with Microphone,8.11,10.54,21.00
