PC_ID,Loose_Price,CIB_Price,New_Price,Image_URL
10975,8.99,22.44,38.69,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95i6V-QJAHysFPO5E7WErIbHm_mNE_jzmeDMZV9XrguIx6xRX4Hn8b4MXHWdc5y-VOZFJhJMem3AmUufo-88HL2R3WSAjCkgGQPkYNeuIEmoWqFgIiHFqlFOqG1bw2pxobOyD4CCF87KIxFA_CwKiCFxuKrIA/60.jpg
1981,4.50,5.62,10.74,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96S3ljXWYnnQ3K8ttZVvJUWx2USmER1UOWGyHglOzrPmLx9E7WskR31fSSvkyj4R0ddCevhaR_sgZiBzZnKAeK5qx0to2atZS-B9n1ToBK4crsxPZ68iQS7byTy3C-lYxLfs8_UAa8sExkGoIu3BXzH2Hvfyw/60.jpg
10398,8.99,30.48,39.99,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96XCPlBNUjUq0vXOyerfYTbY6lRw_BRrFFh6snHt9ykbH4wfRr8q0XB1XWn2fww4qGmKK4szJ1PCZQ72rXpic2bR02V9PQ4_mgA-Xx5gXDb5ynsUR7LvGhNDdwCTeZEdqGMvuKvYaMhB9j-LHBSuPE9YFBXoA/60.jpg
42393,18.17,38.77,58.19,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95DMHWo1LolcGmL0zBNl4fMM_V-2UoRf1iZLkmXqguM6hWEWmuH3p5nXMujszWX1qooa4-Ad7vCMlL1MgwssdNb_o5w5qC2M7eZcutkCvVXJBS2Xw0tgxmnpu-cbguc8XMaZAixB2UpG1iVCZ7sWnYX7g9RXg/60.jpg
35847,87.35,,76.48,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97FiSLMZIDtjScGFaU0ufCJ70UidVBXWK996xrr5TNYeq_6lDS53URyS0tRZXCroDtsM3rQVTWaswqgFEPlPkDWLJoTsJIwrACZYAaM9CM0Dm8l7kmTMKirHtxHOUAM9jFormRu5hiBwsoaWPSactBD7wZ7eA/60.jpg
35846,,,59.99,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv975iduc7o5sRAaYHv6QiMhhD8H7sQpfeUrAgeD-APzu6d-OjzeyYqfNprCP6RmzrIQpBU6HRWMA8VHiEoa0yU_UrPFubt2PJc3IVJ1rLlvXhEhVpBSgdYm9HsiWUXpnGZLxw7g-otL5AxLACJSqk8-z1aDdpA/60.jpg
35848,99.99,,47.01,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97awHuqxbFdSQu1AQd3I0JRNDERTnJ9PgrxjGA_jYMDNNWvpW0DmGhQVWF7MsET1I0JbIhkKJl_NDb5y9su5TX11Yoz1bs5Qnwk5xtdCVLABD7Hj20ySb2N7Avl-5WnPWx8Rm48T-Ht8_56KP4OoHnMseMkIg/60.jpg
11823,5.95,13.24,18.39,https://commondatastorage.googleapis.com/images.pricecharting.com/3fca4607eddf5b1ecde56aa795a2eae690361a703e42d4703a8b2adb204f4658/60.jpg
7265,5.30,7.32,13.26,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94f0nz7EPIR2xM-gUWHMpXrzSsN_lsXR4WHTlnNXC59n0RsKm336UKCSWCnRDazgrVzM0LZJC5doLRt2Ntbj-zSuKG1vREl0IMMRhlSGKCREIzZ2aYYKswHavyJQXjcg6Ydrzd6l5G_rRui8202fbp4PGrioQ/60.jpg
1982,5.14,10.55,27.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96uBBX-1RUIwa0vCtM_1mlPr5QQ7q0z5I33aT1s99uKCIiXM_ey9VFEKoTEjMTKNKUn8S1pdkUlFXTHaCpJXTmJcGW4J0zmvpH9H1nNonjm6BKZMv0N2JUuq1T0O93tzSRlMxLdPGdWbz1hmKeiGtbLFyo8xQ/60.jpg
